id,sex,age,stage,genotype,rep,species
sp1.a.1,4,1,adults,1,1,spath
sp1.a.2,4,1,adults,1,2,spath
sp1.a.3,4,1,adults,1,3,spath
sp2.a.1,4,1,adults,2,1,spath
sp2.a.2,4,1,adults,2,2,spath
sp2.a.3,4,1,adults,2,3,spath
sp3.a.1,4,1,adults,3,1,spath
sp3.a.2,4,1,adults,3,2,spath
sp3.a.3,4,1,adults,3,3,spath
sp4.a.1,4,1,adults,4,1,spath
sp4.a.2,4,1,adults,4,2,spath
sp4.a.3,4,1,adults,4,3,spath
sp5.a.1,4,1,adults,5,1,spath
sp5.a.2,4,1,adults,5,2,spath
sp5.a.3,4,1,adults,5,3,spath
sp6.a.1,4,1,adults,6,1,spath
sp6.a.2,4,1,adults,6,2,spath
sp6.a.3,4,1,adults,6,3,spath
sp9.a.1,4,1,adults,9,1,spath
sp9.a.2,4,1,adults,9,2,spath
sp9.a.3,4,1,adults,9,3,spath
sp.l.1,4,0,larvae,na,1,spath
sp.l.10,4,0,larvae,na,10,spath
sp.l.11,4,0,larvae,na,11,spath
sp.l.12,4,0,larvae,na,12,spath
sp.l.13,4,0,larvae,na,13,spath
sp.l.14,4,0,larvae,na,14,spath
sp.l.15,4,0,larvae,na,15,spath
sp.l.16,4,0,larvae,na,16,spath
sp.l.17,4,0,larvae,na,17,spath
sp.l.18,4,0,larvae,na,18,spath
sp.l.19,4,0,larvae,na,19,spath
sp.l.2,4,0,larvae,na,2,spath
sp.l.20,4,0,larvae,na,20,spath
sp.l.21,4,0,larvae,na,21,spath
sp.l.22,4,0,larvae,na,22,spath
sp.l.23,4,0,larvae,na,23,spath
sp.l.24,4,0,larvae,na,24,spath
sp.l.25,4,0,larvae,na,25,spath
sp.l.3,4,0,larvae,na,3,spath
sp.l.4,4,0,larvae,na,4,spath
sp.l.5,4,0,larvae,na,5,spath
sp.l.6,4,0,larvae,na,6,spath
sp.l.7,4,0,larvae,na,7,spath
sp.l.8,4,0,larvae,na,8,spath
sp.l.9,4,0,larvae,na,9,spath
at1.a,4,1,adult,1,1,tenuis
at10.a,4,1,adult,10,1,tenuis
at11.a,4,1,adult,11,1,tenuis
at12.a,4,1,adult,12,1,tenuis
at13.a,4,1,adult,13,1,tenuis
at14.a,4,1,adult,14,1,tenuis
at15.a,4,1,adult,15,1,tenuis
at2.a,4,1,adult,2,1,tenuis
at3.a,4,1,adult,3,1,tenuis
at4.a,4,1,adult,4,1,tenuis
at5.a,4,1,adult,5,1,tenuis
at6.a,4,1,adult,6,1,tenuis
at7.a,4,1,adult,7,1,tenuis
at8.a,4,1,adult,8,1,tenuis
at9.a,4,1,adult,9,1,tenuis
at.l.1.1,4,0,larvae,na,1,tenuis
at.l.1.10,4,0,larvae,na,10,tenuis
at.l.1.2,4,0,larvae,na,2,tenuis
at.l.1.3,4,0,larvae,na,3,tenuis
at.l.1.4,4,0,larvae,na,4,tenuis
at.l.1.5,4,0,larvae,na,5,tenuis
at.l.1.6,4,0,larvae,na,6,tenuis
at.l.1.7,4,0,larvae,na,7,tenuis
at.l.1.8,4,0,larvae,na,8,tenuis
at.l.1.9,4,0,larvae,na,9,tenuis
at.l.2.11,4,0,larvae,na,11,tenuis
at.l.2.12,4,0,larvae,na,12,tenuis
at.l.2.13,4,0,larvae,na,13,tenuis
at.l.2.14,4,0,larvae,na,14,tenuis
at.l.2.15,4,0,larvae,na,15,tenuis
at.l.2.16,4,0,larvae,na,16,tenuis
at.l.2.17,4,0,larvae,na,17,tenuis
at.l.2.18,4,0,larvae,na,18,tenuis
at.l.2.19,4,0,larvae,na,19,tenuis
at.l.2.20,4,0,larvae,na,20,tenuis
